Friday,,6 PM – 7:30 PM  Techistration @ Tech Pavilion,,
Saturday,,6:30 AM – 8:00 AM   Techistration @ Tech Pavilion,,Racers Meet with your Series Leaders
7:15 AM,,ALL HPDE Drivers Meeting @ Main Pavilion,,to get your On-Track Wristbands
7:30 AM,,Workers Meeting at NASA Trailer,,
,,Instructors and TT Meeting @ Main Pavilion,,
Start,,Track,Classroom,
8:00 AM,20,HPDE 3* & 4,HPDE 1 & Toyota,
8:20 AM,15,"TT Alpha (TTU/a,1-3)",,
8:35 AM,15,"TT Omega (TTU/b, 4-6)",,
8:50 AM,20,ALL RACERS WARMUP,,
9:10 AM,20,HPDE 2,,
9:30 AM,20,HPDE 1 & Toyota,,
10:00 AM,15,,,
10:15 AM,15,Thunder Qualifying,HPDE 2,
10:30 AM,15,Lightning Qualifying,,*when HPDE 3 & 4 are on track Saturday you
10:45 AM,15,HPDE 2,,
11:00 AM,20,HPDE 1 & Toyota,,
11:20 AM,20,HPDE 4,,
11:40 AM,20,HPDE 3,,
12:00 PM,60,Lunch,,12:00 All Racers Meeting @ Pavilion
1:00 PM,15,"TT Alpha (TTU/a,1-3)",HPDE 3,12:15 All TT Drivers Meeting
1:15 PM,15,"TT Omega (TTU/b, 4-6)",,
1:30 PM,30,Thunder Race #1,,
2:00 PM,20,HPDE 2,,
2:20 PM,20,HPDE 1 & Toyota,,
2:40 PM,30,Lightning Race #1,HPDE 2,
3:10 PM,20,HPDE 3* & 4,,
3:30 PM,15,"TT Alpha (TTU/a,1-3)",,
3:45 PM,15,"TT Omega (TTU/b, 4-6)",,"Lightning: SpecE30, SpecMiata, Spec3, 944Spec"
4:00 PM,20,HPDE 3* & 4,,"Thunder: SuperTouring, GTS, SpecIron, SpecE46,"
4:20 PM,20,HPDE 1 & Toyota,,"              Honda Challenge, ThunderRoadsters, SU & GT"
4:40 PM,20,HPDE 2,HPDE 1 & Toyota,
5:00 PM,Series Awards in Main Pavilion,,,
,,,,
Sunday,,,Note: Quiet Hours from 10:00 AM to 12:00 PM,
TOYOTA,,7 AM – 8:00 AM   Techistration @ Tech Pavilion,,
7:30 AM,15,ALL WORKERS MEETING,,
Start,,Track,Classroom,
8:00 AM,15,"TT Alpha (TTU/a,1-3)",,
8:15 AM,15,"TT Omega (TTU/b, 4-6)",,
8:30 AM,30,Lightning Race #2,HPDE 1 & Toyota,
9:00 AM,20,HPDE 4,,
9:20 AM,30,Thunder Race #2,,
9:50 AM,15,HPDE 1 & Toyota,,
10:05 AM,20,HPDE 2,,Cars will be tested on grid and on track to verify they meet sound 
10:25 AM,20,HPDE 3,,"requirements, if your car is too loud you can go to Driver Info to be"
10:45 AM,15,HPDE 1 / 2 & Toyota,HPDE 3,scheduled into another session to make up for the one you lost.
11:00 AM,0,HPDE 2,,11:30 All Racers Meeting
11:00 AM,60,Lunch,HPDE 2,11:00 AM RACER MEETING
12:00 PM,20,HPDE 4* & 3,,11:15 All TT Drivers Meeting
12:20 PM,20,"TT Alpha (TTU/a,1-3)",,
12:40 PM,20,"TT Omega (TTU/b, 4-6)",,
1:00 PM,30,Lightning Race #3,,
1:30 PM,20,HPDE 1 & Toyota,,*when HPDE 3 & 4 are on track Sunday you abide
1:50 PM,30,Thunder Race #3,,by HPDE 4 rules – point by optional
2:20 PM,15,"TT Alpha (TTU/a,1-3)",,
2:35 PM,15,"TT Omega (TTU/b, 4-6)",,
2:50 PM,20,HPDE 2,,
3:10 PM,20,HPDE 4,,
3:30 PM,20,HPDE 3,,
3:50 PM,20,HPDE 1/Toyota & HPDE 2,,
4:10 PM,20,HPDE 4* & 3,,
4:30 PM,15,HDPE 2,,
4:45 PM,15,HPDE 1/Toyota,,
